Move,Id,A,S,Page,Title,Cue,Entrances,Exits,OnStage,Note1,Note2,Note3 
107,78.8,2, 2,78,"Mendel OFF, Yente, Avram ON","""She didn't!"" ""She did!""","Avram (Mel Bucklin), Yente (Lucy Spencer)",Mendel (Gabe Garcia),"Avram (Mel Bucklin), Yente (Lucy Spencer)",,,
108,79.2,2, 3,79,"Yente, Avram OFF",End of The Rumor,,"Avram (Mel Bucklin), Yente (Lucy Spencer)",,,,
109,79.3,2, 3,79,"Hodel, Tevye ON",A2 S3 Lights up,"Tevye (Patrick McCarty), Hodel (Katie Giannokopoulos)",,"Tevye (Patrick McCarty), Hodel (Katie Giannokopoulos)",,,
110,81.5,2, 4,81,"Hodel, Tevye OFF",Tevye exits end of scene,,"Tevye (Patrick McCarty), Hodel (Katie Giannokopoulos)",,,,
111,81.6,2, 4,81,"Av, Inn, Rab, Mend, Lib ON",A2 S4 Lights up,"Mendel (Gabe Garcia), Innkeeper (Steve Kelley), Avram (Mel Bucklin), Rabbi (Russell Arrowsmith), Libby (Libby St. Jean)",,"Mendel (Gabe Garcia), Innkeeper (Steve Kelley), Avram (Mel Bucklin), Rabbi (Russell Arrowsmith), Libby (Libby St. Jean)",,,
112,82.2,2, 5,82,Shaindel ON,"""Where are you running?""",Shaindel (Karen Hammes),,"Mendel (Gabe Garcia), Innkeeper (Steve Kelley), Avram (Mel Bucklin), Rabbi (Russell Arrowsmith), Libby (Libby St. Jean), Shaindel (Karen Hammes)",,,
113,82.4,2, 5,82,"Men, Inn, Av, Rab, Lib, Sh OFF","End of scene 4 (""Mazeltov""s)",,"Mendel (Gabe Garcia), Innkeeper (Steve Kelley), Avram (Mel Bucklin), Rabbi (Russell Arrowsmith), Libby (Libby St. Jean), Shaindel (Karen Hammes)",,,,
114,82.5,2, 5,82,"Motel, Avram, Tzeitel, Inn ON",A2 S5 Lights up,"Tzeitel (Lauren Busa), Motel (William Desharnais), Innkeeper (Steve Kelley), Avram (Mel Bucklin)",,"Tzeitel (Lauren Busa), Motel (William Desharnais), Innkeeper (Steve Kelley), Avram (Mel Bucklin)",,,
115,83.5,2, 5,83,Rabbi ON,"""The Rabbi, the Rabbi!""",Rabbi (Russell Arrowsmith),,"Tzeitel (Lauren Busa), Motel (William Desharnais), Innkeeper (Steve Kelley), Avram (Mel Bucklin), Rabbi (Russell Arrowsmith)",,,
116,83.10,2, 5,83,"Av, Rab, Inn OFF Golde ON",Ensemble exits,Golde (Karin Harvey-Olsen),"Innkeeper (Steve Kelley), Avram (Mel Bucklin), Rabbi (Russell Arrowsmith)","Tzeitel (Lauren Busa), Golde (Karin Harvey-Olsen), Motel (William Desharnais)",,,
117,83.12,2, 5,83,Fyedka ON,"""He's wonderful, Mama.""",Fyedka (Luke Crory),,"Tzeitel (Lauren Busa), Golde (Karin Harvey-Olsen), Motel (William Desharnais), Fyedka (Luke Crory)",,,
118,84.7,2, 5,84,Fyedka OFF,"""Good day."" Fyedka exits",,Fyedka (Luke Crory),"Tzeitel (Lauren Busa), Golde (Karin Harvey-Olsen), Motel (William Desharnais)",,,
119,84.10,2, 5,84,"Mot, Gol, Tz OFF Fyed, Ch ON","""..with your hand.""","Chava (Lindsey Murch), Fyedka (Luke Crory)","Tzeitel (Lauren Busa), Golde (Karin Harvey-Olsen), Motel (William Desharnais)","Chava (Lindsey Murch), Fyedka (Luke Crory)",,,
120,85.1,2, 5,85,Tevye ON,Tevye's entrance,Tevye (Patrick McCarty),,"Tevye (Patrick McCarty), Chava (Lindsey Murch), Fyedka (Luke Crory)",,,
121,85.3,2, 5,85,Fyedka OFF,"Fyedka: ""Good day.""",,Fyedka (Luke Crory),"Tevye (Patrick McCarty), Chava (Lindsey Murch)",,,
122,86.6,2, 5,86,"Chava OFF, Golde ON","""Yes Papa, I understand you.""",Golde (Karin Harvey-Olsen),Chava (Lindsey Murch),"Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen)",,,
123,86.12,2, 5,86,"Tevye, Golde OFF","""Now let's go home!""",,"Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen)",,,,
124,87.1,2, 6,87,Tevye ON,A2 S6 Lights up,Tevye (Patrick McCarty),,Tevye (Patrick McCarty),,,
125,87.1A,2, 6,87,Golde ON,Golde enters,Golde (Karin Harvey-Olsen),,"Tevye (Patrick McCarty), Golde (Karin Harvey-Olsen)",,,
126,87.9,2, 6,87,Golde OFF,"""We will forget her. Go home.""",,Golde (Karin Harvey-Olsen),Tevye (Patrick McCarty),,,
